-20	-10	5.18158e-05
-20	-9.5	6.67989e-05
-20	-9	6.7066e-05
-20	-8.5	5.24399e-05
-20	-8	3.19336e-05
-20	-7.5	1.51447e-05
-20	-7	5.5937e-06
-20	-6.5	1.60903e-06
-20	-6	3.60459e-07
-20	-5.5	6.28889e-08
-20	-5	8.54512e-09
-20	-4.5	9.04251e-10
-20	-4	7.45222e-11
-20	-3.5	4.7831e-12
-20	-3	2.39089e-13
-20	-2.5	9.30755e-15
-20	-2	2.82188e-16
-20	-1.5	6.66295e-18
-20	-1	1.22524e-19
-20	-0.5	1.7547e-21
-20	0	1.95709e-23
-20	0.5	1.69999e-25
-20	1	1.15002e-27
-20	1.5	6.05891e-30
-20	2	2.48604e-32
-20	2.5	7.94416e-35
-20	3	1.97703e-37
-20	3.5	3.83184e-40
-20	4	5.78397e-43
-20	4.5	6.79941e-46
-20	5	6.22506e-49
-20	5.5	4.43855e-52
-20	6	2.46471e-55
-20	6.5	1.0659e-58
-20	7	3.59e-62
-20	7.5	9.41669e-66
-20	8	1.92366e-69
-20	8.5	3.06045e-73
-20	9	3.792e-77
-20	9.5	3.65912e-81
-20	10	2.74987e-85
-19.5	-10	6.52721e-05
-19.5	-9.5	9.29959e-05
-19.5	-9	0.000103187
-19.5	-8.5	8.91693e-05
-19.5	-8	6.0011e-05
-19.5	-7.5	3.14538e-05
-19.5	-7	1.28393e-05
-19.5	-6.5	4.08165e-06
-19.5	-6	1.01055e-06
-19.5	-5.5	1.94852e-07
-19.5	-5	2.92602e-08
-19.5	-4.5	3.42198e-09
-19.5	-4	3.11677e-10
-19.5	-3.5	2.21084e-11
-19.5	-3	1.22134e-12
-19.5	-2.5	5.25463e-14
-19.5	-2	1.76065e-15
-19.5	-1.5	4.59444e-17
-19.5	-1	9.33721e-19
-19.5	-0.5	1.47784e-20
-19.5	0	1.82165e-22
-19.5	0.5	1.74876e-24
-19.5	1	1.30743e-26
-19.5	1.5	7.61266e-29
-19.5	2	3.45207e-31
-19.5	2.5	1.21913e-33
-19.5	3	3.35309e-36
-19.5	3.5	7.18236e-39
-19.5	4	1.19816e-41
-19.5	4.5	1.55665e-44
-19.5	5	1.57504e-47
-19.5	5.5	1.24114e-50
-19.5	6	7.61682e-54
-19.5	6.5	3.64044e-57
-19.5	7	1.35507e-60
-19.5	7.5	3.9282e-64
-19.5	8	8.86857e-68
-19.5	8.5	1.55934e-71
-19.5	9	2.13527e-75
-19.5	9.5	2.27714e-79
-19.5	10	1.89128e-83
-19	-10	7.79525e-05
-19	-9.5	0.000122743
-19	-9	0.000150518
-19	-8.5	0.00014375
-19	-8	0.000106918
-19	-7.5	6.19331e-05
-19	-7	2.79396e-05
-19	-6.5	9.81622e-06
-19	-6	2.68593e-06
-19	-5.5	5.72363e-07
-19	-5	9.49893e-08
-19	-4.5	1.22773e-08
-19	-4	1.23583e-09
-19	-3.5	9.68818e-11
-19	-3	5.91495e-12
-19	-2.5	2.81246e-13
-19	-2	1.04147e-14
-19	-1.5	3.00355e-16
-19	-1	6.74605e-18
-19	-0.5	1.18002e-19
-19	0	1.60752e-21
-19	0.5	1.7055e-23
-19	1	1.40919e-25
-19	1.5	9.0681e-28
-19	2	4.54453e-30
-19	2.5	1.77373e-32
-19	3	5.39154e-35
-19	3.5	1.27633e-37
-19	4	2.35311e-40
-19	4.5	3.37868e-43
-19	5	3.77814e-46
-19	5.5	3.29029e-49
-19	6	2.23161e-52
-19	6.5	1.17877e-55
-19	7	4.84914e-59
-19	7.5	1.55356e-62
-19	8	3.87629e-66
-19	8.5	7.53237e-70
-19	9	1.13992e-73
-19	9.5	1.34351e-77
-19	10	1.23321e-81
-18.5	-10	8.82613e-05
-18.5	-9.5	0.000153591
-18.5	-9	0.000208155
-18.5	-8.5	0.000219702
-18.5	-8	0.000180596
-18.5	-7.5	0.000115614
-18.5	-7	5.76417e-05
-18.5	-6.5	2.23816e-05
-18.5	-6	6.76816e-06
-18.5	-5.5	1.59396e-06
-18.5	-5	2.92354e-07
-18.5	-4.5	4.17607e-08
-18.5	-4	4.64573e-09
-18.5	-3.5	4.025e-10
-18.5	-3	2.71584e-11
-18.5	-2.5	1.42714e-12
-18.5	-2	5.84062e-14
-18.5	-1.5	1.86156e-15
-18.5	-1	4.62083e-17
-18.5	-0.5	8.93285e-19
-18.5	0	1.34489e-20
-18.5	0.5	1.57692e-22
-18.5	1	1.43999e-24
-18.5	1.5	1.02408e-26
-18.5	2	5.67199e-29
-18.5	2.5	2.44661e-31
-18.5	3	8.219e-34
-18.5	3.5	2.1503e-36
-18.5	4	4.38134e-39
-18.5	4.5	6.9525e-42
-18.5	5	8.59214e-45
-18.5	5.5	8.26966e-48
-18.5	6	6.1987e-51
-18.5	6.5	3.6186e-54
-18.5	7	1.64515e-57
-18.5	7.5	5.82503e-61
-18.5	8	1.60626e-64
-18.5	8.5	3.44954e-68
-18.5	9	5.76943e-72
-18.5	9.5	7.51502e-76
-18.5	10	7.6235e-80
-18	-10	9.47432e-05
-18	-9.5	0.00018221
-18	-9	0.000272913
-18	-8.5	0.000318347
-18	-8	0.000289204
-18	-7.5	0.000204614
-18	-7	0.000112744
-18	-6.5	4.8381e-05
-18	-6	1.6169e-05
-18	-5.5	4.20842e-06
-18	-5	8.53064e-07
-18	-4.5	1.3467e-07
-18	-4	1.65571e-08
-18	-3.5	1.58535e-09
-18	-3	1.18221e-10
-18	-2.5	6.86574e-12
-18	-2	3.10533e-13
-18	-1.5	1.09384e-14
-18	-1	3.00074e-16
-18	-0.5	6.41102e-18
-18	0	1.06673e-19
-18	0.5	1.38231e-21
-18	1	1.39503e-23
-18	1.5	1.09645e-25
-18	2	6.71151e-28
-18	2.5	3.19947e-30
-18	3	1.18785e-32
-18	3.5	3.43457e-35
-18	4	7.7341e-38
-18	4.5	1.35635e-40
-18	5	1.85252e-43
-18	5.5	1.97051e-46
-18	6	1.63238e-49
-18	6.5	1.05315e-52
-18	7	5.29157e-56
-18	7.5	2.07065e-59
-18	8	6.31036e-63
-18	8.5	1.49771e-66
-18	9	2.7684e-70
-18	9.5	3.98526e-74
-18	10	4.46797e-78
-17.5	-10	9.64192e-05
-17.5	-9.5	0.000204936
-17.5	-9	0.000339233
-17.5	-8.5	0.000437325
-17.5	-8	0.000439074
-17.5	-7.5	0.000343319
-17.5	-7	0.000209066
-17.5	-6.5	9.91508e-05
-17.5	-6	3.66214e-05
-17.5	-5.5	1.05342e-05
